prompt,num_modifiers,num_phrases,item_indices,subjects
a wooden umbrella and a lying athlete,2,2,"[3, 6]","['umbrella', 'athlete']"
a blue banana and a red turtle,2,2,"[3, 6]","['banana', 'turtle']"
a standing man and a purple clock,2,2,"[3, 6]","['man', 'clock']"
a curved skateboard and a sliced tomato,2,2,"[3, 6]","['skateboard', 'tomato']"
a spiky umbrella and a sliced banana,2,2,"[3, 6]","['umbrella', 'banana']"
a blue apple and a teal strawberry,2,2,"[3, 6]","['apple', 'strawberry']"
a sitting man and a skewered strawberry,2,2,"[3, 6]","['man', 'strawberry']"
a sliced banana and a black guitar,2,2,"[3, 6]","['banana', 'guitar']"
a spiky balloon and a lying person,2,2,"[3, 6]","['balloon', 'person']"
a sliced tomato and a sitting programmer,2,2,"[3, 6]","['tomato', 'programmer']"
an old artist and a spotted bird,2,2,"[3, 6]","['artist', 'bird']"
a purple strawberry and a gray zebra,2,2,"[3, 6]","['strawberry', 'zebra']"
a sliced tomato and a metal hat,2,2,"[3, 6]","['tomato', 'metal', 'hat']"
a green apple and a furry bird,2,2,"[3, 6]","['apple', 'bird']"
a sliced apple and a skewered strawberry,2,2,"[3, 6]","['apple', 'strawberry']"
a lying man and a surprised woman,2,2,"[3, 6]","['man', 'woman']"
a baby bear and a metal bicycle,2,2,"[3, 6]","['baby', 'bear', 'bicycle']"
a standing athlete and an adolescent woman,2,2,"[3, 6]","['athlete', 'woman']"
a standing woman and a sitting man,2,2,"[3, 6]","['woman', 'man']"
a sliced banana and a lying athlete,2,2,"[3, 6]","['banana', 'athlete']"
a gray tomato and a sad athlete,2,2,"[3, 6]","['tomato', 'athlete']"
a yellow bicycle and a checkered backpack,2,2,"[3, 6]","['bicycle', 'backpack']"
a standing athlete and a spotted horse,2,2,"[3, 6]","['athlete', 'horse']"
a sliced strawberry and a sliced banana,2,2,"[3, 6]","['strawberry', 'banana']"
a furry bird and a sliced apple,2,2,"[3, 6]","['bird', 'apple']"
a spotted chair and a happy programmer,2,2,"[3, 6]","['chair', 'programmer']"
an orange banana and a furry bear,2,2,"[3, 6]","['banana', 'bear']"
a middle-aged man and a lying artist,2,2,"[3, 6]","['man', 'artist']"
an adolescent artist and a wooden guitar,2,2,"[3, 6]","['artist', 'guitar']"
a skewered apple and a green bench,2,2,"[3, 6]","['apple', 'bench']"
a pink chair and a modern bowl,2,2,"[3, 6]","['chair', 'bowl']"
a checkered guitar and an angry athlete,2,2,"[3, 6]","['guitar', 'athlete']"
an angry programmer and a blue dog,2,2,"[3, 6]","['programmer', 'dog']"
a curved crown and a purple balloon,2,2,"[3, 6]","['crown', 'balloon']"
a checkered bicycle and a skewered apple,2,2,"[3, 6]","['bicycle', 'apple']"
a metal hat and a sleepy bird,2,2,"[3, 6]","['metal', 'hat', 'bird']"
a teal rabbit and a spiky crown,2,2,"[3, 6]","['rabbit', 'crown']"
a baby horse and a sleepy turtle,2,2,"[3, 6]","['baby', 'horse', 'turtle']"
an adolescent man and a sliced strawberry,2,2,"[3, 6]","['man', 'strawberry']"
a skewered apple and a sleepy programmer,2,2,"[3, 6]","['apple', 'programmer']"
a sad man and a red skateboard,2,2,"[3, 6]","['man', 'skateboard']"
