,Unnamed: 0,prompt,num_modifiers,num_phrases,item_indices,subjects
16,16,a spiky hat and a sleepy lion and a sitting surprised artist,4,3,"[3, 7, 12]","['hat', 'lion', 'artist']"
17,17,a purple turtle and a baby frog and an adolescent programmer,3,3,"[3, 7, 11]","['turtle', 'baby', 'frog', 'programmer']"
18,18,a happy standing programmer and a lying sad woman and a brown tomato,5,3,"[4, 9, 13]","['programmer', 'woman', 'tomato']"
19,19,an orange monkey and a lying person and a spotted spiky skateboard,4,3,"[3, 7, 12]","['monkey', 'person', 'skateboard']"
20,20,a sitting happy athlete and an orange metal chair and an orange baby spotted penguin,7,3,"[4, 9, 15]","['athlete', 'metal', 'chair', 'baby', 'penguin']"
21,21,a skewered strawberry and a skewered banana and a surprised athlete,3,3,"[3, 7, 11]","['strawberry', 'banana', 'athlete']"
22,22,an orange suitcase and a yellow elephant and a green skewered strawberry,4,3,"[3, 7, 12]","['suitcase', 'elephant', 'strawberry']"
23,23,a baby sleepy horse and a white apple and a metal balloon,4,3,"[4, 8, 12]","['baby', 'horse', 'apple', 'metal', 'balloon']"
24,24,a standing surprised athlete and a middle-aged surprised man and a standing sad woman,6,3,"[4, 9, 14]","['athlete', 'man', 'woman']"
25,25,a teal sliced apple and a gray baby cat and a sad old athlete,6,3,"[4, 9, 14]","['teal', 'apple', 'baby', 'cat', 'athlete']"
26,26,a sliced tomato and a teal wooden checkered umbrella and a sitting man,5,3,"[3, 9, 13]","['tomato', 'umbrella', 'man']"
27,27,a standing adolescent programmer and a sad programmer and a sliced apple,4,3,"[4, 8, 12]","['programmer', 'programmer', 'apple']"
28,28,a standing man and a spotted wooden balloon and a baby frog,4,3,"[3, 8, 12]","['man', 'balloon', 'baby', 'frog']"
29,29,a sliced tomato and a metal crown and a sleepy spotted zebra,4,3,"[3, 7, 12]","['tomato', 'metal', 'crown', 'zebra']"
30,30,a pink metal backpack and a spiky clock and a pink baby spotted elephant,6,3,"[4, 8, 14]","['metal', 'backpack', 'clock', 'baby', 'elephant']"
31,31,a purple horse and a purple metal wooden chair and a gray spotted furry elephant,7,3,"[3, 9, 15]","['horse', 'metal', 'chair', 'elephant']"
32,32,a baby sleepy panda and a curved wooden suitcase and a skewered apple,5,3,"[4, 9, 13]","['baby', 'panda', 'suitcase', 'apple']"
33,33,a yellow skewered tomato and a young man and a green strawberry,4,3,"[4, 8, 12]","['tomato', 'man', 'strawberry']"
34,34,a skewered tomato and a wooden umbrella and a spotted sleepy bird,4,3,"[3, 7, 12]","['tomato', 'umbrella', 'bird']"
35,35,a yellow furry frog and a spotted spiky hat and a sitting surprised programmer,6,3,"[4, 9, 14]","['frog', 'hat', 'programmer']"
36,36,a sliced banana and a wooden curved crown and a modern hat,4,3,"[3, 8, 12]","['banana', 'crown', 'hat']"
37,37,a metal checkered hat and an orange spotted frog and a sliced apple,5,3,"[4, 9, 13]","['metal', 'hat', 'orange', 'frog', 'apple']"
38,38,an adolescent programmer and a surprised sitting artist and a sad woman,4,3,"[3, 8, 12]","['programmer', 'artist', 'woman']"
39,39,an angry lying man and an angry young athlete and a checkered curved suitcase,6,3,"[4, 9, 14]","['man', 'athlete', 'suitcase']"
40,40,a red spotted gorilla and a purple spotted chair and an orange rabbit,5,3,"[4, 9, 13]","['gorilla', 'chair', 'rabbit']"
41,41,a green skewered strawberry and a yellow baby cat and a standing woman,5,3,"[4, 9, 13]","['strawberry', 'baby', 'cat', 'woman']"
42,42,a gray bowl and a skewered tomato and an adolescent sad artist,4,3,"[3, 7, 12]","['bowl', 'tomato', 'artist']"
43,43,an old sad person and a baby mouse and a sleepy spotted horse,5,3,"[4, 8, 13]","['person', 'baby', 'mouse', 'horse']"
44,44,a blue wooden skateboard and a white sliced banana and an adolescent woman,5,3,"[4, 9, 13]","['skateboard', 'banana', 'woman']"
45,45,a furry gorilla and a sliced banana and a sleepy monkey,3,3,"[3, 7, 11]","['gorilla', 'banana', 'monkey']"
46,46,a gray banana and a pink checkered metal suitcase and a sliced strawberry,5,3,"[3, 9, 13]","['banana', 'metal', 'suitcase', 'strawberry']"
47,47,a curved modern bow and a yellow backpack and a surprised man,4,3,"[4, 8, 12]","['bow', 'backpack', 'man']"
48,48,a checkered curved clock and a happy athlete and a teal spotted bowl,5,3,"[4, 8, 13]","['clock', 'athlete', 'teal', 'bowl']"
49,49,an orange elephant and a blue sliced strawberry and a red skewered banana,5,3,"[3, 8, 13]","['elephant', 'strawberry', 'banana']"
50,50,a sliced apple and a brown sliced strawberry and an old surprised woman,5,3,"[3, 8, 13]","['apple', 'strawberry', 'woman']"
51,51,a spotted cat and a red spotted elephant and a sliced tomato,4,3,"[3, 8, 12]","['cat', 'elephant', 'tomato']"
52,52,a skewered apple and a pink suitcase and a black suitcase,3,3,"[3, 7, 11]","['apple', 'suitcase', 'suitcase']"
53,53,a spiky guitar and an orange spotted sleepy bird and a sleepy bird,5,3,"[3, 9, 13]","['guitar', 'orange', 'bird', 'bird']"
54,54,a standing sad person and an orange banana and a pink skewered tomato,5,3,"[4, 8, 13]","['person', 'banana', 'tomato']"
55,55,an orange tomato and an old artist and a teal curved guitar,4,3,"[3, 7, 12]","['orange', 'tomato', 'artist', 'teal', 'guitar']"
56,56,a baby cat and a furry monkey and a red apple,3,3,"[3, 7, 11]","['baby', 'cat', 'monkey', 'apple']"
57,57,a teal metal spotted shoe and a black sliced banana and a blue skewered strawberry,7,3,"[5, 10, 15]","['metal', 'shoe', 'banana', 'strawberry']"
58,58,a middle-aged happy artist and a skewered tomato and a gray curved car,5,3,"[4, 8, 13]","['artist', 'tomato', 'car']"
59,59,a yellow spiky suitcase and a furry spotted elephant and a sliced tomato,5,3,"[4, 9, 13]","['suitcase', 'elephant', 'tomato']"
60,60,a sliced strawberry and a teal lion and a sliced tomato,3,3,"[3, 7, 11]","['strawberry', 'lion', 'tomato']"
61,61,a furry spotted monkey and a curved backpack and a teal spotted sleepy lion,6,3,"[4, 8, 14]","['monkey', 'backpack', 'teal', 'lion']"
62,62,a furry baby rabbit and a furry penguin and a baby sleepy monkey,5,3,"[4, 8, 13]","['baby', 'rabbit', 'penguin', 'baby', 'monkey']"
63,63,a furry baby mouse and a lying programmer and a purple lion,4,3,"[4, 8, 12]","['baby', 'mouse', 'programmer', 'lion']"
64,64,a sitting programmer and an adolescent lying person and a sitting artist,4,3,"[3, 8, 12]","['programmer', 'person', 'artist']"
65,65,a young woman and a black sliced banana and a sad man,4,3,"[3, 8, 12]","['woman', 'banana', 'man']"
66,66,a furry spotted zebra and an orange skewered tomato and a spotted metal balloon,6,3,"[4, 9, 14]","['zebra', 'orange', 'tomato', 'metal', 'balloon']"
67,67,an angry artist and a white apple and a pink banana,3,3,"[3, 7, 11]","['artist', 'apple', 'banana']"
68,68,a purple apple and a skewered apple and a lying programmer,3,3,"[3, 7, 11]","['apple', 'apple', 'programmer']"
69,69,a green spotted checkered suitcase and a brown umbrella and a red apple,5,3,"[5, 9, 13]","['suitcase', 'umbrella', 'apple']"
70,70,a gray sliced apple and a teal tomato and a blue apple,4,3,"[4, 8, 12]","['apple', 'tomato', 'apple']"
71,71,a sliced banana and a sleepy spotted lion and a sliced strawberry,4,3,"[3, 8, 12]","['banana', 'lion', 'strawberry']"
72,72,a white skewered strawberry and a checkered spiky clock and a black modern shoe,6,3,"[4, 9, 14]","['strawberry', 'clock', 'shoe']"
73,73,a yellow baby turtle and a spiky curved backpack and a sleepy furry mouse,6,3,"[4, 9, 14]","['baby', 'turtle', 'backpack', 'mouse']"
74,74,a blue horse and a white chair and an old man,3,3,"[3, 7, 11]","['horse', 'chair', 'man']"
75,75,a spotted modern suitcase and a brown furry mouse and a curved skateboard,5,3,"[4, 9, 13]","['suitcase', 'mouse', 'skateboard']"
76,76,a sliced strawberry and a sliced apple and a surprised sitting programmer,4,3,"[3, 7, 12]","['strawberry', 'apple', 'programmer']"
77,77,a brown curved umbrella and a beige strawberry and a skewered tomato,4,3,"[4, 8, 12]","['umbrella', 'strawberry', 'tomato']"
78,78,a black shoe and a gray tomato and an orange spotted frog,4,3,"[3, 7, 12]","['shoe', 'tomato', 'orange', 'frog']"
79,79,a baby rabbit and a sliced strawberry and a happy woman,3,3,"[3, 7, 11]","['baby', 'rabbit', 'strawberry', 'woman']"
80,80,a lying surprised artist and a sliced tomato and a modern curved umbrella,5,3,"[4, 8, 13]","['artist', 'tomato', 'umbrella']"
81,81,a green spotted baby mouse and a gray tomato and a black sliced apple,6,3,"[5, 9, 14]","['baby', 'mouse', 'tomato', 'apple']"
82,82,a curved spotted guitar and a spotted cat and a modern checkered bow,5,3,"[4, 8, 13]","['guitar', 'cat', 'bow']"
83,83,a skewered strawberry and a purple furry spotted dog and a black furry baby horse,7,3,"[3, 9, 15]","['strawberry', 'dog', 'baby', 'horse']"
84,84,a skewered banana and a curved wooden skateboard and a green tomato,4,3,"[3, 8, 12]","['banana', 'skateboard', 'tomato']"
85,85,an old artist and a young person and a sad man,3,3,"[3, 7, 11]","['artist', 'person', 'man']"
86,86,a lying adolescent artist and a teal backpack and a modern hat,4,3,"[4, 8, 12]","['artist', 'backpack', 'hat']"
87,87,a sleepy middle-aged woman and a curved wooden chair and a gray skewered banana,6,3,"[4, 9, 14]","['woman', 'chair', 'banana']"
88,88,a baby spotted lion and a sliced apple and an old lying athlete,5,3,"[4, 8, 13]","['baby', 'lion', 'apple', 'athlete']"
89,89,a sleepy furry gorilla and a brown frog and a checkered car,4,3,"[4, 8, 12]","['gorilla', 'frog', 'car']"
90,90,a checkered curved suitcase and a skewered tomato and an orange curved hat,5,3,"[4, 8, 13]","['suitcase', 'tomato', 'hat']"
91,91,a beige baby mouse and a sliced tomato and an orange wooden spiky umbrella,6,3,"[4, 8, 14]","['baby', 'mouse', 'tomato', 'umbrella']"
92,92,a lying middle-aged man and a black sliced apple and a yellow modern shoe,6,3,"[4, 9, 14]","['man', 'apple', 'shoe']"
93,93,a metal checkered shoe and a surprised programmer and a middle-aged man,4,3,"[4, 8, 12]","['metal', 'shoe', 'programmer', 'man']"
94,94,an angry woman and a surprised woman and a skewered strawberry,3,3,"[3, 7, 11]","['woman', 'woman', 'strawberry']"
95,95,a black spiky metal backpack and a checkered spotted crown and a metal hat,6,3,"[5, 10, 14]","['metal', 'backpack', 'crown', 'metal', 'hat']"
96,96,a sleepy baby monkey and a teal modern camera and a happy person,5,3,"[4, 9, 13]","['baby', 'monkey', 'camera', 'person']"
97,97,a black shoe and a sad athlete and a modern wooden suitcase,4,3,"[3, 7, 12]","['shoe', 'athlete', 'suitcase']"
98,98,a white modern curved hat and a sleepy man and a spotted baby cat,6,3,"[5, 9, 14]","['hat', 'man', 'baby', 'cat']"
99,99,a curved chair and a modern bench and a happy artist,3,3,"[3, 7, 11]","['chair', 'bench', 'artist']"
