prompt,num_modifiers,num_phrases,item_indices,subjects
a checkered camera and a sliced apple,2,2,"[3, 7]","['camera', 'apple']"
a sleepy frog and a baby bear,2,2,"[3, 7]","['frog', 'baby', 'bear']"
a checkered car and a brown tomato,2,2,"[3, 7]","['car', 'tomato']"
a purple banana and a happy woman,2,2,"[3, 7]","['banana', 'woman']"
a sitting person and a skewered strawberry,2,2,"[3, 7]","['person', 'strawberry']"
a sleepy elephant and a green tomato,2,2,"[3, 7]","['elephant', 'tomato']"
a furry panda and a skewered tomato,2,2,"[3, 7]","['panda', 'tomato']"
a sliced banana and a yellow banana,2,2,"[3, 7]","['banana', 'banana']"
a green bird and a wooden shoe,2,2,"[3, 7]","['bird', 'shoe']"
a red bear and a curved bowl,2,2,"[3, 7]","['bear', 'bowl']"
an old athlete and an orange camera,2,2,"[3, 7]","['athlete', 'camera']"
a baby zebra and a skewered tomato,2,2,"[3, 7]","['baby', 'zebra', 'tomato']"
a sliced tomato and a gray banana,2,2,"[3, 7]","['tomato', 'banana']"
a standing woman and a standing person,2,2,"[3, 7]","['woman', 'person']"
a blue dog and a lying athlete,2,2,"[3, 7]","['dog', 'athlete']"
an orange elephant and a white apple,2,2,"[3, 7]","['elephant', 'apple']"
a sliced apple and a yellow backpack,2,2,"[3, 7]","['apple', 'backpack']"
a curved hat and a modern shoe,2,2,"[3, 7]","['hat', 'shoe']"
a gray tomato and a sliced banana,2,2,"[3, 7]","['tomato', 'banana']"
a middle-aged programmer and a modern balloon,2,2,"[3, 7]","['programmer', 'balloon']"
a beige horse and a yellow strawberry,2,2,"[3, 7]","['horse', 'strawberry']"
a spotted panda and a skewered apple,2,2,"[3, 7]","['panda', 'apple']"
a spotted camera and a young athlete,2,2,"[3, 7]","['camera', 'athlete']"
an angry person and a green gorilla,2,2,"[3, 7]","['person', 'gorilla']"
a baby dog and a metal bow,2,2,"[3, 7]","['baby', 'dog', 'metal', 'bow']"
a surprised woman and a spotted panda,2,2,"[3, 7]","['woman', 'panda']"
a purple strawberry and a blue apple,2,2,"[3, 7]","['strawberry', 'apple']"
a purple strawberry and a sliced apple,2,2,"[3, 7]","['strawberry', 'apple']"
a sliced tomato and a skewered banana,2,2,"[3, 7]","['tomato', 'banana']"
a young person and a teal tomato,2,2,"[3, 7]","['person', 'tomato']"
a standing man and a spotted cat,2,2,"[3, 7]","['man', 'cat']"
a sad man and a surprised woman,2,2,"[3, 7]","['man', 'woman']"
a teal bow and a brown car,2,2,"[3, 7]","['bow', 'car']"
a white apple and a curved backpack,2,2,"[3, 7]","['apple', 'backpack']"
a spotted shoe and a curved bow,2,2,"[3, 7]","['shoe', 'bow']"
