prompt,num_modifiers,num_phrases,item_indices,subjects
a purple skewered tomato and a beige sleepy spotted rabbit,5,2,"[4, 10]","['tomato', 'rabbit']"
a sad lying programmer and a checkered suitcase,3,2,"[4, 8]","['programmer', 'suitcase']"
a yellow sliced banana and a spotted furry penguin,4,2,"[4, 9]","['banana', 'penguin']"
a sliced banana and a gray wooden bow,3,2,"[3, 8]","['banana', 'bow']"
a brown checkered car and a red furry baby monkey,5,2,"[4, 10]","['car', 'baby', 'monkey']"
a sitting angry athlete and a black furry elephant,4,2,"[4, 9]","['athlete', 'elephant']"
a middle-aged artist and a happy sitting artist,3,2,"[3, 8]","['artist', 'artist']"
an orange checkered metal chair and a spiky wooden shoe,5,2,"[5, 10]","['metal', 'chair', 'shoe']"
a sitting surprised man and a skewered banana,3,2,"[4, 8]","['man', 'banana']"
a surprised woman and a sliced tomato,2,2,"[3, 7]","['woman', 'tomato']"
a sleepy lying athlete and a yellow baby sleepy gorilla,5,2,"[4, 10]","['athlete', 'baby', 'gorilla']"
a blue sleepy rabbit and a teal zebra,3,2,"[4, 8]","['rabbit', 'zebra']"
a green clock and a baby elephant,2,2,"[3, 7]","['clock', 'baby', 'elephant']"
a wooden spotted umbrella and a red guitar,3,2,"[4, 8]","['umbrella', 'guitar']"
a sad woman and a middle-aged man,2,2,"[3, 7]","['woman', 'man']"
a middle-aged athlete and an old artist,2,2,"[3, 7]","['athlete', 'artist']"
a green bear and a brown sleepy furry panda,4,2,"[3, 9]","['bear', 'panda']"
a metal checkered balloon and a teal wooden curved hat,5,2,"[4, 10]","['metal', 'balloon', 'hat']"
a baby zebra and a white spotted sleepy horse,4,2,"[3, 9]","['baby', 'zebra', 'horse']"
an adolescent sitting programmer and a happy person,3,2,"[4, 8]","['sitting', 'programmer', 'person']"
a black banana and a blue strawberry,2,2,"[3, 7]","['banana', 'strawberry']"
a skewered banana and a sitting woman,2,2,"[3, 7]","['banana', 'woman']"
a baby rabbit and a standing man,2,2,"[3, 7]","['baby', 'rabbit', 'man']"
a yellow sleepy furry monkey and a middle-aged standing artist,5,2,"[5, 10]","['monkey', 'artist']"
a beige skewered tomato and a checkered skateboard,3,2,"[4, 8]","['tomato', 'skateboard']"
a red wooden spiky shoe and a sleepy elephant,4,2,"[5, 9]","['shoe', 'elephant']"
a spotted sleepy frog and a lying middle-aged athlete,4,2,"[4, 9]","['frog', 'athlete']"
a middle-aged woman and a skewered strawberry,2,2,"[3, 7]","['woman', 'strawberry']"
a modern metal crown and a middle-aged programmer,3,2,"[4, 8]","['metal', 'crown', 'programmer']"
a white bench and a yellow tomato,2,2,"[3, 7]","['bench', 'tomato']"
a spotted penguin and a sad sitting man,3,2,"[3, 8]","['penguin', 'man']"
a wooden chair and a sliced strawberry,2,2,"[3, 7]","['chair', 'strawberry']"
a furry panda and an orange baby sleepy bear,4,2,"[3, 9]","['panda', 'baby', 'bear']"
a curved suitcase and a blue furry panda,3,2,"[3, 8]","['suitcase', 'panda']"
a red sliced strawberry and a red turtle,3,2,"[4, 8]","['strawberry', 'turtle']"
an adolescent programmer and a spiky balloon,2,2,"[3, 7]","['programmer', 'balloon']"
a skewered tomato and a happy lying programmer,3,2,"[3, 8]","['tomato', 'programmer']"
a gray dog and a furry panda,2,2,"[3, 7]","['dog', 'panda']"
a purple hat and a blue spotted elephant,3,2,"[3, 8]","['hat', 'elephant']"
a baby dog and an old woman,2,2,"[3, 7]","['baby', 'dog', 'woman']"
a sliced apple and a sleepy spotted lion,3,2,"[3, 8]","['apple', 'lion']"
a baby furry rabbit and a brown baby spotted zebra,5,2,"[4, 10]","['baby', 'rabbit', 'baby', 'zebra']"
a baby elephant and a skewered banana,2,2,"[3, 7]","['baby', 'elephant', 'banana']"
a curved bicycle and a skewered apple,2,2,"[3, 7]","['bicycle', 'apple']"
a lying artist and a sleepy furry lion,3,2,"[3, 8]","['artist', 'lion']"
a gray metal spiky hat and a skewered tomato,4,2,"[5, 9]","['metal', 'hat', 'tomato']"
a pink skewered apple and a yellow car,3,2,"[4, 8]","['apple', 'car']"
a spotted bow and a modern chair,2,2,"[3, 7]","['bow', 'chair']"
a furry rabbit and a purple balloon,2,2,"[3, 7]","['rabbit', 'balloon']"
an old man and a surprised old person,3,2,"[3, 8]","['man', 'person']"
a spotted mouse and a black sliced tomato,3,2,"[3, 8]","['mouse', 'tomato']"
a baby spotted penguin and a standing adolescent man,4,2,"[4, 9]","['baby', 'penguin', 'man']"
a baby lion and a skewered apple,2,2,"[3, 7]","['baby', 'lion', 'apple']"
a sleepy baby zebra and a pink spotted furry mouse,5,2,"[4, 10]","['baby', 'zebra', 'mouse']"
a wooden checkered chair and a yellow penguin,3,2,"[4, 8]","['chair', 'penguin']"
a spotted crown and a lying surprised programmer,3,2,"[3, 8]","['crown', 'programmer']"
a curved wooden umbrella and a spotted panda,3,2,"[4, 8]","['umbrella', 'panda']"
a spotted sleepy elephant and a green skewered tomato,4,2,"[4, 9]","['elephant', 'tomato']"
a blue apple and a happy woman,2,2,"[3, 7]","['apple', 'woman']"
a brown bow and a spiky curved bow,3,2,"[3, 8]","['bow', 'bow']"
an adolescent woman and a furry lion,2,2,"[3, 7]","['woman', 'lion']"
