prompt,num_modifiers,num_phrases,item_indices,subjects
a standing programmer and a metal clock and a modern bench,3,3,"[3, 7, 11]","['programmer', 'metal', 'clock', 'bench']"
a beige bench and a sleepy cat and a middle-aged person,3,3,"[3, 7, 11]","['bench', 'cat', 'person']"
a purple monkey and a curved clock and a green bicycle,3,3,"[3, 7, 11]","['monkey', 'clock', 'bicycle']"
a furry cat and a skewered tomato and a gray apple,3,3,"[3, 7, 11]","['cat', 'tomato', 'apple']"
a spotted penguin and a furry frog and a furry lion,3,3,"[3, 7, 11]","['penguin', 'frog', 'lion']"
a skewered banana and a wooden chair and a sleepy panda,3,3,"[3, 7, 11]","['banana', 'chair', 'panda']"
a metal balloon and a spotted panda and a pink backpack,3,3,"[3, 7, 11]","['metal', 'balloon', 'panda', 'backpack']"
a teal bicycle and a blue rabbit and a lying artist,3,3,"[3, 7, 11]","['bicycle', 'rabbit', 'artist']"
a skewered banana and a skewered strawberry and a sliced strawberry,3,3,"[3, 7, 11]","['banana', 'strawberry', 'strawberry']"
a yellow gorilla and a wooden guitar and a baby bird,3,3,"[3, 7, 11]","['gorilla', 'guitar', 'baby', 'bird']"
a sleepy athlete and a red tomato and a skewered apple,3,3,"[3, 7, 11]","['athlete', 'tomato', 'apple']"
a furry turtle and a beige tomato and a wooden skateboard,3,3,"[3, 7, 11]","['turtle', 'tomato', 'skateboard']"
a baby elephant and a white shoe and a baby cat,3,3,"[3, 7, 11]","['baby', 'elephant', 'shoe', 'baby', 'cat']"
a blue hat and a green tomato and a black zebra,3,3,"[3, 7, 11]","['hat', 'tomato', 'zebra']"
a lying woman and a gray skateboard and a modern bow,3,3,"[3, 7, 11]","['woman', 'skateboard', 'bow']"
a furry mouse and a metal umbrella and a sliced banana,3,3,"[3, 7, 11]","['mouse', 'metal', 'umbrella', 'banana']"
a furry horse and a spiky bicycle and an orange guitar,3,3,"[3, 7, 11]","['horse', 'bicycle', 'guitar']"
a spiky balloon and a blue banana and a lying woman,3,3,"[3, 7, 11]","['balloon', 'banana', 'woman']"
a middle-aged woman and a metal umbrella and an adolescent athlete,3,3,"[3, 7, 11]","['woman', 'metal', 'umbrella', 'athlete']"
a white backpack and a spotted suitcase and a sliced apple,3,3,"[3, 7, 11]","['backpack', 'suitcase', 'apple']"
a black banana and a standing programmer and a white frog,3,3,"[3, 7, 11]","['banana', 'programmer', 'frog']"
a wooden shoe and a surprised man and a skewered tomato,3,3,"[3, 7, 11]","['shoe', 'man', 'tomato']"
a black skateboard and a sleepy horse and a lying man,3,3,"[3, 7, 11]","['skateboard', 'horse', 'man']"
a white tomato and a lying person and a young athlete,3,3,"[3, 7, 11]","['tomato', 'person', 'athlete']"
a sliced strawberry and a pink suitcase and a spiky chair,3,3,"[3, 7, 11]","['strawberry', 'suitcase', 'chair']"
a standing woman and a skewered tomato and an adolescent person,3,3,"[3, 7, 11]","['woman', 'tomato', 'person']"
a middle-aged person and a young woman and a furry lion,3,3,"[3, 7, 11]","['person', 'woman', 'lion']"
a skewered tomato and a spotted balloon and a pink dog,3,3,"[3, 7, 11]","['tomato', 'balloon', 'dog']"
a sleepy gorilla and a sleepy dog and a purple turtle,3,3,"[3, 7, 11]","['gorilla', 'dog', 'turtle']"
a skewered banana and a baby frog and an old athlete,3,3,"[3, 7, 11]","['banana', 'baby', 'frog', 'athlete']"
a blue shoe and a spiky crown and a sitting athlete,3,3,"[3, 7, 11]","['shoe', 'crown', 'athlete']"
a purple shoe and a lying programmer and a gray turtle,3,3,"[3, 7, 11]","['shoe', 'programmer', 'turtle']"
a black suitcase and a sliced strawberry and a young programmer,3,3,"[3, 7, 11]","['suitcase', 'strawberry', 'programmer']"
a white strawberry and a happy person and a skewered banana,3,3,"[3, 7, 11]","['strawberry', 'person', 'banana']"
a spotted panda and a skewered banana and a sliced apple,3,3,"[3, 7, 11]","['panda', 'banana', 'apple']"
a lying athlete and an orange bird and a middle-aged man,3,3,"[3, 7, 11]","['athlete', 'bird', 'man']"
a furry dog and an adolescent woman and a spiky backpack,3,3,"[3, 7, 11]","['dog', 'woman', 'backpack']"
a skewered strawberry and a sleepy horse and a pink shoe,3,3,"[3, 7, 11]","['strawberry', 'horse', 'shoe']"
a sliced tomato and a wooden balloon and a sitting woman,3,3,"[3, 7, 11]","['tomato', 'balloon', 'woman']"
a sitting person and a yellow zebra and a green horse,3,3,"[3, 7, 11]","['person', 'zebra', 'horse']"
a blue bird and a furry bird and a yellow horse,3,3,"[3, 7, 11]","['bird', 'bird', 'horse']"
a sliced strawberry and a pink strawberry and an adolescent woman,3,3,"[3, 7, 11]","['strawberry', 'strawberry', 'woman']"
a skewered strawberry and a purple apple and a wooden bench,3,3,"[3, 7, 11]","['strawberry', 'apple', 'bench']"
a sliced tomato and a sliced apple and a modern bowl,3,3,"[3, 7, 11]","['tomato', 'apple', 'bowl']"
a sliced apple and a spotted umbrella and a sitting programmer,3,3,"[3, 7, 11]","['apple', 'umbrella', 'programmer']"
a skewered strawberry and a middle-aged woman and a skewered banana,3,3,"[3, 7, 11]","['strawberry', 'woman', 'banana']"
a baby rabbit and a furry lion and a spotted car,3,3,"[3, 7, 11]","['baby', 'rabbit', 'lion', 'car']"
a metal bicycle and a modern suitcase and a wooden guitar,3,3,"[3, 7, 11]","['metal', 'bicycle', 'suitcase', 'guitar']"
a middle-aged artist and a black banana and a furry lion,3,3,"[3, 7, 11]","['artist', 'banana', 'lion']"
a baby zebra and a yellow skateboard and a sliced banana,3,3,"[3, 7, 11]","['baby', 'zebra', 'skateboard', 'banana']"
a gray hat and an angry artist and a white skateboard,3,3,"[3, 7, 11]","['hat', 'artist', 'skateboard']"
a checkered backpack and a curved chair and a sleepy programmer,3,3,"[3, 7, 11]","['backpack', 'chair', 'programmer']"
an angry programmer and a green strawberry and a gray elephant,3,3,"[3, 7, 11]","['programmer', 'strawberry', 'elephant']"
a sleepy turtle and a sad programmer and a white banana,3,3,"[3, 7, 11]","['turtle', 'programmer', 'banana']"
a standing programmer and a sitting person and a metal backpack,3,3,"[3, 7, 11]","['programmer', 'person', 'metal', 'backpack']"
an old programmer and a blue bench and a spotted bear,3,3,"[3, 7, 11]","['programmer', 'bench', 'bear']"
an old athlete and a white tomato and a white bench,3,3,"[3, 7, 11]","['athlete', 'tomato', 'bench']"
a blue tomato and an orange rabbit and a surprised person,3,3,"[3, 7, 11]","['tomato', 'rabbit', 'person']"
a standing artist and a skewered banana and a furry rabbit,3,3,"[3, 7, 11]","['artist', 'banana', 'rabbit']"
a red penguin and a blue banana and a sliced apple,3,3,"[3, 7, 11]","['penguin', 'banana', 'apple']"
a beige suitcase and a sliced apple and a beige gorilla,3,3,"[3, 7, 11]","['suitcase', 'apple', 'gorilla']"
a skewered strawberry and a curved shoe and a surprised athlete,3,3,"[3, 7, 11]","['strawberry', 'shoe', 'athlete']"
a red crown and a skewered tomato and a spotted mouse,3,3,"[3, 7, 11]","['crown', 'tomato', 'mouse']"
a lying programmer and a lying person and an adolescent programmer,3,3,"[3, 7, 11]","['programmer', 'person', 'programmer']"
a curved clock and a spiky car and a spotted cat,3,3,"[3, 7, 11]","['clock', 'car', 'cat']"
a baby horse and an angry person and a white monkey,3,3,"[3, 7, 11]","['baby', 'horse', 'person', 'monkey']"
a furry zebra and a gray frog and a skewered banana,3,3,"[3, 7, 11]","['zebra', 'frog', 'banana']"
a baby rabbit and a baby panda and a modern crown,3,3,"[3, 7, 11]","['baby', 'rabbit', 'baby', 'panda', 'crown']"
a sliced apple and an orange rabbit and a furry horse,3,3,"[3, 7, 11]","['apple', 'orange', 'rabbit', 'horse']"
a furry monkey and a sliced strawberry and a baby elephant,3,3,"[3, 7, 11]","['monkey', 'strawberry', 'baby', 'elephant']"
a wooden crown and a yellow bowl and a beige apple,3,3,"[3, 7, 11]","['crown', 'bowl', 'apple']"
a sad person and a green bicycle and a gray penguin,3,3,"[3, 7, 11]","['person', 'bicycle', 'penguin']"
a spiky suitcase and a black camera and a lying woman,3,3,"[3, 7, 11]","['suitcase', 'camera', 'woman']"
a lying person and a modern car and a surprised artist,3,3,"[3, 7, 11]","['person', 'car', 'artist']"
a sliced apple and a purple dog and a gray surfboard,3,3,"[3, 7, 11]","['apple', 'dog', 'surfboard']"
a spiky hat and a purple monkey and a sliced strawberry,3,3,"[3, 7, 11]","['hat', 'monkey', 'strawberry']"
a standing person and a sleepy mouse and a modern bowl,3,3,"[3, 7, 11]","['person', 'mouse', 'bowl']"
a standing man and a gray zebra and a red balloon,3,3,"[3, 7, 11]","['man', 'zebra', 'balloon']"
a red bear and an angry artist and a young programmer,3,3,"[3, 7, 11]","['bear', 'artist', 'programmer']"
a middle-aged man and a sad man and a metal bowl,3,3,"[3, 7, 11]","['man', 'man', 'metal', 'bowl']"
a furry penguin and a sleepy woman and an adolescent man,3,3,"[3, 7, 11]","['penguin', 'woman', 'man']"
