prompt,num_modifiers,num_phrases,item_indices,subjects
a skewered banana and a modern bicycle and a sliced strawberry,3,3,"[3, 7, 11]","['banana', 'bicycle', 'strawberry']"
a gray skewered apple and a skewered tomato and a brown frog,4,3,"[4, 8, 12]","['apple', 'tomato', 'frog']"
an old sad programmer and an orange wooden umbrella and a teal tomato,5,3,"[4, 9, 13]","['programmer', 'umbrella', 'tomato']"
a sitting adolescent woman and a sliced banana and a sleepy spotted elephant,5,3,"[4, 8, 13]","['woman', 'banana', 'elephant']"
a sleepy person and a pink sliced tomato and a green spotted wooden clock,6,3,"[3, 8, 14]","['person', 'tomato', 'clock']"
a beige apple and a sliced tomato and a curved modern bow,4,3,"[3, 7, 12]","['apple', 'tomato', 'bow']"
a teal sliced strawberry and a white wooden balloon and a blue skewered strawberry,6,3,"[4, 9, 14]","['teal', 'strawberry', 'balloon', 'strawberry']"
a sliced tomato and a green strawberry and a standing man,3,3,"[3, 7, 11]","['tomato', 'strawberry', 'man']"
an old programmer and a yellow furry mouse and a yellow furry spotted panda,6,3,"[3, 8, 14]","['programmer', 'mouse', 'panda']"
a sleepy athlete and a red skewered tomato and a sleepy baby dog,5,3,"[3, 8, 13]","['athlete', 'tomato', 'baby', 'dog']"
a metal clock and a modern spotted bowl and a spotted bench,4,3,"[3, 8, 12]","['metal', 'clock', 'bowl', 'bench']"
a red hat and a sliced banana and a white clock,3,3,"[3, 7, 11]","['hat', 'banana', 'clock']"
an adolescent man and a brown curved skateboard and a spotted sleepy zebra,5,3,"[3, 8, 13]","['man', 'skateboard', 'zebra']"
a sitting programmer and a spotted checkered car and a pink skewered tomato,5,3,"[3, 8, 13]","['programmer', 'car', 'tomato']"
a curved spotted suitcase and a spotted metal shoe and a young sleepy man,6,3,"[4, 9, 14]","['suitcase', 'metal', 'shoe', 'man']"
a yellow gorilla and a sitting happy programmer and a teal skewered banana,5,3,"[3, 8, 13]","['gorilla', 'programmer', 'teal', 'banana']"
an angry athlete and an adolescent lying person and a red apple,4,3,"[3, 8, 12]","['athlete', 'person', 'apple']"
a pink furry rabbit and a black skewered apple and a sleepy dog,5,3,"[4, 9, 13]","['rabbit', 'apple', 'dog']"
a standing angry programmer and a happy old athlete and a white tomato,5,3,"[4, 9, 13]","['programmer', 'athlete', 'tomato']"
a white sliced banana and a lying young athlete and a standing old artist,6,3,"[4, 9, 14]","['banana', 'athlete', 'artist']"
an old woman and a skewered apple and a skewered tomato,3,3,"[3, 7, 11]","['woman', 'apple', 'tomato']"
a purple curved hat and a happy sitting programmer and a skewered apple,5,3,"[4, 9, 13]","['hat', 'programmer', 'apple']"
a middle-aged artist and a pink sleepy baby zebra and a young standing programmer,6,3,"[3, 9, 14]","['artist', 'baby', 'zebra', 'programmer']"
a yellow sliced apple and a checkered balloon and an old standing woman,5,3,"[4, 8, 13]","['apple', 'balloon', 'woman']"
a young man and an orange furry cat and a sad programmer,4,3,"[3, 8, 12]","['man', 'cat', 'programmer']"
a sliced banana and an old man and a spotted sleepy rabbit,4,3,"[3, 7, 12]","['banana', 'man', 'rabbit']"
a spotted frog and a baby dog and a surprised man,3,3,"[3, 7, 11]","['frog', 'baby', 'dog', 'man']"
a metal backpack and a furry zebra and a spiky shoe,3,3,"[3, 7, 11]","['metal', 'backpack', 'zebra', 'shoe']"
a black banana and a beige sliced apple and a wooden bicycle,4,3,"[3, 8, 12]","['banana', 'apple', 'bicycle']"
a sitting surprised artist and an angry middle-aged man and an orange curved metal surfboard,7,3,"[4, 9, 15]","['artist', 'man', 'metal', 'surfboard']"
a baby furry rabbit and a green furry spotted mouse and a skewered strawberry,6,3,"[4, 10, 14]","['baby', 'rabbit', 'mouse', 'strawberry']"
an old surprised woman and a standing adolescent woman and a middle-aged athlete,5,3,"[4, 9, 13]","['woman', 'woman', 'athlete']"
a baby sleepy mouse and a teal bear and a spiky crown,4,3,"[4, 8, 12]","['baby', 'mouse', 'bear', 'crown']"
a sliced banana and a sliced apple and a sleepy baby panda,4,3,"[3, 7, 12]","['banana', 'apple', 'baby', 'panda']"
a sliced banana and an adolescent angry person and a young sleepy athlete,5,3,"[3, 8, 13]","['banana', 'person', 'athlete']"
a yellow spotted furry frog and an adolescent surprised artist and a baby spotted lion,7,3,"[5, 10, 15]","['frog', 'adolescent', 'artist', 'baby', 'lion']"
a beige baby furry bird and a gray strawberry and a teal penguin,5,3,"[5, 9, 13]","['baby', 'bird', 'strawberry', 'penguin']"
a sleepy adolescent artist and a standing surprised man and a sliced strawberry,5,3,"[4, 9, 13]","['artist', 'man', 'strawberry']"
a green spiky shoe and a surprised sitting woman and a gray skewered strawberry,6,3,"[4, 9, 14]","['shoe', 'woman', 'strawberry']"
an orange sleepy spotted frog and a red sliced banana and a purple sliced strawberry,7,3,"[5, 10, 15]","['frog', 'banana', 'strawberry']"
a young surprised athlete and a middle-aged angry athlete and a white strawberry,5,3,"[4, 9, 13]","['athlete', 'athlete', 'strawberry']"
a skewered apple and a green skewered strawberry and a baby penguin,4,3,"[3, 8, 12]","['apple', 'strawberry', 'baby', 'penguin']"
a sitting sleepy programmer and a sitting artist and a middle-aged athlete,4,3,"[4, 8, 12]","['programmer', 'artist', 'athlete']"
a skewered banana and a white clock and a beige balloon,3,3,"[3, 7, 11]","['banana', 'clock', 'balloon']"
a sitting adolescent man and a beige wooden camera and a spotted elephant,5,3,"[4, 9, 13]","['man', 'camera', 'elephant']"
a skewered apple and a sitting sleepy programmer and a green bowl,4,3,"[3, 8, 12]","['apple', 'programmer', 'bowl']"
a lying man and a gray zebra and a beige skewered strawberry,4,3,"[3, 7, 12]","['man', 'zebra', 'strawberry']"
a standing person and a furry penguin and a sleepy dog,3,3,"[3, 7, 11]","['person', 'penguin', 'dog']"
