,prompt,num_modifiers,num_phrases,item_indices,subjects
22,a skewered banana and a wooden skateboard,2,2,"[3, 7]","['banana', 'skateboard']"
23,a checkered metal bowl and a gray sliced tomato,4,2,"[4, 9]","['metal', 'bowl', 'tomato']"
24,a spotted sleepy gorilla and a skewered tomato,3,2,"[4, 8]","['gorilla', 'tomato']"
25,a yellow sliced banana and a young person,3,2,"[4, 8]","['banana', 'person']"
26,a sad old woman and a blue turtle,3,2,"[4, 8]","['woman', 'turtle']"
27,a gray sleepy panda and a purple banana,3,2,"[4, 8]","['panda', 'banana']"
28,a surprised young person and a standing person,3,2,"[4, 8]","['person', 'person']"
29,a sliced apple and a teal spotted baby zebra,4,2,"[3, 9]","['apple', 'teal', 'baby', 'zebra']"
30,a furry spotted panda and a blue elephant,3,2,"[4, 8]","['panda', 'elephant']"
31,a white spiky shoe and a sitting woman,3,2,"[4, 8]","['shoe', 'woman']"
32,a gray sliced banana and a spotted monkey,3,2,"[4, 8]","['banana', 'monkey']"
33,a spotted dog and a skewered banana,2,2,"[3, 7]","['dog', 'banana']"
34,a lying sad person and a skewered tomato,3,2,"[4, 8]","['person', 'tomato']"
35,a baby frog and a skewered tomato,2,2,"[3, 7]","['baby', 'frog', 'tomato']"
36,a modern checkered hat and a sleepy programmer,3,2,"[4, 8]","['hat', 'programmer']"
37,a sliced banana and a spiky clock,2,2,"[3, 7]","['banana', 'clock']"
38,a lying old woman and a gray horse,3,2,"[4, 8]","['woman', 'horse']"
39,a skewered strawberry and a white gorilla,2,2,"[3, 7]","['strawberry', 'gorilla']"
40,a sliced tomato and a young sad person,3,2,"[3, 8]","['tomato', 'person']"
41,a spotted bear and a sliced banana,2,2,"[3, 7]","['bear', 'banana']"
42,a middle-aged standing person and an orange apple,3,2,"[4, 8]","['person', 'orange', 'apple']"
43,a skewered banana and a beige elephant,2,2,"[3, 7]","['banana', 'elephant']"
44,a sad athlete and a checkered metal shoe,3,2,"[3, 8]","['athlete', 'metal', 'shoe']"
45,an old athlete and a sitting person,2,2,"[3, 7]","['athlete', 'person']"
46,a sleepy baby frog and a black strawberry,3,2,"[4, 8]","['baby', 'frog', 'strawberry']"
47,a red chair and a baby bear,2,2,"[3, 7]","['chair', 'baby', 'bear']"
48,an adolescent athlete and a sad woman,2,2,"[3, 7]","['athlete', 'woman']"
49,a spotted baby lion and a baby furry rabbit,4,2,"[4, 9]","['baby', 'lion', 'baby', 'rabbit']"
50,a curved wooden bench and a standing man,3,2,"[4, 8]","['bench', 'man']"
51,an orange shoe and a sitting artist,2,2,"[3, 7]","['shoe', 'artist']"
52,a furry panda and a brown sleepy mouse,3,2,"[3, 8]","['panda', 'mouse']"
53,a spotted furry zebra and a black strawberry,3,2,"[4, 8]","['zebra', 'strawberry']"
54,a sliced strawberry and a teal crown,2,2,"[3, 7]","['strawberry', 'teal', 'crown']"
55,a green cat and a brown rabbit,2,2,"[3, 7]","['cat', 'rabbit']"
56,a sliced banana and a spotted lion,2,2,"[3, 7]","['banana', 'lion']"
57,a sliced strawberry and a yellow modern metal hat,4,2,"[3, 9]","['strawberry', 'metal', 'hat']"
58,a sad programmer and a lying man,2,2,"[3, 7]","['programmer', 'man']"
59,a baby furry gorilla and a curved spotted suitcase,4,2,"[4, 9]","['baby', 'gorilla', 'suitcase']"
60,a white mouse and an old man,2,2,"[3, 7]","['mouse', 'man']"
61,a lying artist and a blue furry monkey,3,2,"[3, 8]","['artist', 'monkey']"
62,a pink baby monkey and a happy lying athlete,4,2,"[4, 9]","['baby', 'monkey', 'athlete']"
63,a white bench and a modern checkered crown,3,2,"[3, 8]","['bench', 'crown']"
64,a white sleepy baby dog and a purple hat,4,2,"[5, 9]","['baby', 'dog', 'hat']"
65,a surprised athlete and a green sliced banana,3,2,"[3, 8]","['athlete', 'banana']"
66,a lying happy person and a skewered tomato,3,2,"[4, 8]","['person', 'tomato']"
67,a wooden modern umbrella and a spiky camera,3,2,"[4, 8]","['umbrella', 'camera']"
68,a skewered apple and a skewered tomato,2,2,"[3, 7]","['apple', 'tomato']"
69,a skewered tomato and a lying angry artist,3,2,"[3, 8]","['tomato', 'artist']"
70,a spiky crown and a red checkered bicycle,3,2,"[3, 8]","['crown', 'bicycle']"
71,a purple tomato and a teal bow,2,2,"[3, 7]","['tomato', 'bow']"
72,a sad sitting programmer and a red hat,3,2,"[4, 8]","['programmer', 'hat']"
73,a sleepy zebra and a white mouse,2,2,"[3, 7]","['zebra', 'mouse']"
74,an adolescent sleepy person and a yellow skewered tomato,4,2,"[4, 9]","['person', 'tomato']"
75,a teal checkered modern bow and a sliced apple,4,2,"[5, 9]","['bow', 'apple']"
76,a red furry bear and a furry baby penguin,4,2,"[4, 9]","['bear', 'baby', 'penguin']"
77,a curved balloon and a brown banana,2,2,"[3, 7]","['balloon', 'banana']"
78,an angry lying athlete and a purple apple,3,2,"[4, 8]","['athlete', 'apple']"
79,a sleepy spotted mouse and a yellow modern bicycle,4,2,"[4, 9]","['mouse', 'bicycle']"
80,a sitting artist and a sleepy old athlete,3,2,"[3, 8]","['artist', 'athlete']"
81,a sleepy furry panda and a lying person,3,2,"[4, 8]","['panda', 'person']"
82,a black banana and a gray sleepy penguin,3,2,"[3, 8]","['banana', 'penguin']"
83,a spotted metal bicycle and a skewered banana,3,2,"[4, 8]","['metal', 'bicycle', 'banana']"
84,a metal bench and a furry baby rabbit,3,2,"[3, 8]","['bench', 'baby', 'rabbit']"
85,a sliced banana and a curved car,2,2,"[3, 7]","['banana', 'car']"
86,a teal bench and a baby spotted gorilla,3,2,"[3, 8]","['bench', 'baby', 'gorilla']"
87,a skewered strawberry and a beige metal bench,3,2,"[3, 8]","['strawberry', 'metal', 'bench']"
88,a baby turtle and a curved checkered balloon,3,2,"[3, 8]","['baby', 'turtle', 'balloon']"
89,a wooden skateboard and a green wooden balloon,3,2,"[3, 8]","['skateboard', 'balloon']"
90,a spotted mouse and a sitting programmer,2,2,"[3, 7]","['mouse', 'programmer']"
91,a red sliced banana and a purple turtle,3,2,"[4, 8]","['banana', 'turtle']"
92,a sliced apple and a happy old programmer,3,2,"[3, 8]","['apple', 'programmer']"
93,a metal modern car and a pink hat,3,2,"[4, 8]","['car', 'hat']"
94,a spiky checkered bow and an orange sleepy furry cat,5,2,"[4, 10]","['bow', 'cat']"
95,a sliced banana and a spotted baby monkey,3,2,"[3, 8]","['banana', 'baby', 'monkey']"
96,a yellow spotted baby bear and a checkered wooden balloon,5,2,"[5, 10]","['baby', 'bear', 'balloon']"
97,a young athlete and a sliced banana,2,2,"[3, 7]","['athlete', 'banana']"
98,an orange sleepy bear and a baby rabbit,3,2,"[4, 8]","['bear', 'baby', 'rabbit']"
99,a checkered balloon and a middle-aged standing woman,3,2,"[3, 8]","['balloon', 'woman']"
